,R1,R2,R3,repl,err,rsc_nms,Ridx
0,0.23027650282805381,0.5859898721901579,0.18373362498178836,0,0,S1,1
1,0.3242548956670331,0.2873931225141151,0.3883519818188519,0,0,S2,2
2,0.025345687554717333,0.01479553336328,0.9598587790820027,0,0,S3,3
3,0.6905430381372034,0.05448342037613185,0.25497354148666473,0,0,S4,4
4,0.05480281472533732,0.05655200963602097,0.8886451756386418,0,0,S5,5
5,0.6258465874984891,0.19865875503282404,0.17549465746868687,0,0,S6,6
6,0.6980971025139366,0.19849448357924737,0.10340841390681599,0,0,S7,7
7,0.002209663718685251,0.013780978899093509,0.9840093573822213,0,0,S8,8
8,0.12032872398346317,0.2807812204258522,0.5988900555906846,0,0,S9,9
9,0.20840272206167676,0.6882277591620802,0.10336951877624301,0,0,S10,10
0,0.08976864954707792,0.36946362909735064,0.5407677213555715,1,0,S1,1
1,0.5174895012446016,0.36966799129754346,0.11284250745785496,1,0,S2,2
2,0.08159460209528373,0.7953316083581174,0.12307378954659887,1,0,S3,3
3,0.3726779652224851,0.380846331887721,0.24647570288979395,1,0,S4,4
4,0.026620541673303855,0.12820966987289772,0.8451697884537984,1,0,S5,5
5,0.02419974025676072,0.020790686837685923,0.9550095729055533,1,0,S6,6
6,0.04155161903018915,0.73419789002885,0.22425049094096083,1,0,S7,7
7,0.18533280866395754,0.05234389879549517,0.7623232925405473,1,0,S8,8
8,0.15003960075676503,0.7732547957018467,0.07670560354138822,1,0,S9,9
9,0.6995945765174697,0.0824495354754545,0.21795588800707577,1,0,S10,10
