,R1,R2,R3,repl,err,n_nms,Ridx
0,0.3315139186043847,0.22640940986112118,0.3900226201752701,0,0,H1,1
1,0.27334680788296706,0.26067577787741364,0.3493074905594117,0,0,H2,2
2,0.2282055370309452,0.181133953265925,0.260951417379739,0,0,H3,3
3,0.22916931215169384,0.26958400298412194,0.3231559448895092,0,0,H4,4
4,0.2611014414839947,0.43029148362297504,0.17190316918725831,0,0,H5,5
5,0.17110362452508768,0.1990717451066742,0.3480250066772717,0,0,H6,6
6,0.2078932387337621,0.2536699949364374,0.11798989673039625,0,0,H7,7
7,0.2884436208618985,0.26753125462617555,0.23707263877769275,0,0,H8,8
8,0.32687674127612915,0.11238761872004445,0.21238752529894053,0,0,H9,9
9,0.139287047484751,0.5605128774274185,0.14156394496948962,0,0,H10,10
10,0.46569568490976804,0.45232182241047936,0.23051272630342928,0,0,H11,11
11,0.22919190593932534,0.19928055251128782,0.3643598091739758,0,0,H12,12
12,0.13684567098145062,0.386701903420672,0.19046899189046596,0,0,H13,13
13,0.07202312863169169,0.24550976682052375,0.351796045254051,0,0,H14,14
14,0.21414197863688395,0.2548808880933477,0.4674556163543622,0,0,H15,15
15,0.44144029464992607,0.12037453666100281,0.13093777623424033,0,0,H16,16
16,0.04737121173560121,0.31724615776017934,0.16841457768019671,0,0,H17,17
17,0.3683531167943079,0.3675832636042106,0.6108637477700224,0,0,H18,18
18,0.3773040002672476,0.23037215700635688,0.2614944672240871,0,0,H19,19
19,0.30893733003122037,0.2846854691223689,0.25105866105228714,0,0,H20,20
20,0.1774452985004522,0.19769390738643036,0.23152628245530457,0,0,H21,21
21,0.29334532541724606,0.3109320041706081,0.2899125684283796,0,0,H22,22
22,0.30778299888831523,0.3819665740940767,0.17355516952361563,0,0,H23,23
23,0.29845192942759985,0.20526486607357125,0.13917536220188265,0,0,H24,24
24,0.17592654545178185,0.23031739705810936,0.41696386078114206,0,0,H25,25
0,0.2639828961927829,0.30748396723742705,0.2870735769281072,1,0,H1,1
1,0.23758259824262729,0.22503182075986264,0.24927101610360342,1,0,H2,2
2,0.36336607653881187,0.2628679684278597,0.48599438753766167,1,0,H3,3
3,0.23280719952209977,0.12446403564382788,0.3556453311948664,1,0,H4,4
4,0.12776950633275302,0.2002079076480839,0.18086222812087444,1,0,H5,5
5,0.2491323176321414,0.26513836238563415,0.5566304190243946,1,0,H6,6
6,0.29431078216719353,0.38333702133816244,0.21783357710398604,1,0,H7,7
7,0.2570004419590174,0.28804125682226145,0.2894545885934799,1,0,H8,8
8,0.4812165740896671,0.4112581029655582,0.22416233795395057,1,0,H9,9
9,0.4275169643693709,0.5145765693335911,0.38968638501898645,1,0,H10,10
10,0.4124961366726132,0.3329066045486772,0.13554508931740245,1,0,H11,11
11,0.15109708834810393,0.3681299087699975,0.11461277319591945,1,0,H12,12
12,0.20969887966094328,0.24533892960379672,0.1900825487454604,1,0,H13,13
13,0.3165511863460822,0.15569780247456882,0.273494110150468,1,0,H14,14
14,0.3915931273759558,0.3252804647672175,0.2027565091465025,1,0,H15,15
15,0.12370384148544955,0.3775478676488036,0.21619880698876717,1,0,H16,16
16,0.10471716223569931,0.16577612041553316,0.319071963981764,1,0,H17,17
17,0.27535872908248954,0.4214580068728008,0.2173561924579665,1,0,H18,18
18,0.23883283300999258,0.3094452362938542,0.46446458058111645,1,0,H19,19
19,0.3020681529874809,0.2382758093833289,0.19295842439232086,1,0,H20,20
20,0.17608373163477964,0.19113935156427092,0.17507049070976463,1,0,H21,21
21,0.24259183251734986,0.17241124133393462,0.24214849481660747,1,0,H22,22
22,0.19355604807147847,0.4234127439706349,0.16925379696362233,1,0,H23,23
23,0.12303782179606444,0.3074585311613939,0.1945700356418618,1,0,H24,24
24,0.1505136193190722,0.42649630073627437,0.3211930960411255,1,0,H25,25
