,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,sp_nms,Ridx
0,0.0,0.716262480742876,0.8851375192570881,0.9130912062415804,0.9241739798058626,0.6115150341106149,0.8192015950201211,0.9675066742944829,1.0743926702970796,1.0301024960342495,0,0,S1,1
1,0.716262480742876,0.0,0.17987186408413258,0.26100937798102136,0.3652935707247687,0.3723091218390858,0.10308497894700155,0.47194275038835,0.660983519304702,0.4990579027416896,0,0,S2,2
2,0.8851375192570881,0.17987186408413258,0.0,0.26144018969932226,0.40465925227354616,0.437802616612982,0.09786436995429787,0.382871277827828,0.7145788804883969,0.38686283025259294,0,0,S3,3
3,0.9130912062415804,0.26100937798102136,0.26144018969932226,0.0,0.1462617701635991,0.630432633595477,0.20050817585345684,0.6442405512624306,0.45419481210928364,0.646574589045068,0,0,S4,4
4,0.9241739798058626,0.3652935707247687,0.40465925227354616,0.1462617701635991,0.0,0.7358057046949619,0.33211592695650144,0.7860790644605254,0.310099557637546,0.791193814939371,0,0,S5,5
5,0.6115150341106149,0.3723091218390858,0.437802616612982,0.630432633595477,0.7358057046949619,0.0,0.43916854792332144,0.35916748370101065,1.0203558085869402,0.4247608632375487,0,0,S6,6
6,0.8192015950201211,0.10308497894700155,0.09786436995429787,0.20050817585345684,0.33211592695650144,0.43916854792332144,0.0,0.4581047313532327,0.6407730871694336,0.4712057529334494,0,0,S7,7
7,0.9675066742944829,0.47194275038835,0.382871277827828,0.6442405512624306,0.7860790644605254,0.35916748370101065,0.4581047313532327,0.0,1.0961574840110049,0.06895585356114166,0,0,S8,8
8,1.0743926702970796,0.660983519304702,0.7145788804883969,0.45419481210928364,0.310099557637546,1.0203558085869402,0.6407730871694336,1.0961574840110049,0.0,1.1006927646287794,0,0,S9,9
9,1.0301024960342495,0.4990579027416896,0.38686283025259294,0.646574589045068,0.791193814939371,0.4247608632375487,0.4712057529334494,0.06895585356114166,1.1006927646287794,0.0,0,0,S10,10
0,0.0,0.8637313322331999,0.4965101291059968,1.004652691850401,0.872764418355089,0.2225279091722658,0.7281967012646456,0.34206882261895877,0.5198744698178877,0.5516102307419454,1,0,S1,1
1,0.8637313322331999,0.0,0.371269684802164,0.5854695525079961,0.22455844548131748,1.0278770260869858,0.5911127649113199,0.6606762753973182,0.6379292591361205,0.6486673128737421,1,0,S2,2
2,0.4965101291059968,0.371269684802164,0.0,0.703573824918362,0.3935733816447691,0.6572717619799238,0.45282556781033234,0.31555994998298814,0.3689133052268532,0.39480345502920106,1,0,S3,3
3,1.004652691850401,0.5854695525079961,0.703573824918362,0.0,0.8077303326149924,1.2233745477185425,1.1121018036236054,0.9994233051734618,1.0716806272993913,1.0958862679598198,1,0,S4,4
4,0.872764418355089,0.22455844548131748,0.3935733816447691,0.8077303326149924,0.0,0.9965224343794442,0.40799908757705705,0.5968410434566165,0.5157534464268908,0.515643373060359,1,0,S5,5
5,0.2225279091722658,1.0278770260869858,0.6572717619799238,1.2233745477185425,0.9965224343794442,0.0,0.7622605054220147,0.4047018011907657,0.5491630995880123,0.5732338156277189,1,0,S6,6
6,0.7281967012646456,0.5911127649113199,0.45282556781033234,1.1121018036236054,0.40799908757705705,0.7622605054220147,0.0,0.38628257948262407,0.21443433148172966,0.18907501338958585,1,0,S7,7
7,0.34206882261895877,0.6606762753973182,0.31555994998298814,0.9994233051734618,0.5968410434566165,0.4047018011907657,0.38628257948262407,0.0,0.1796404057748813,0.2127504575101921,1,0,S8,8
8,0.5198744698178877,0.6379292591361205,0.3689133052268532,1.0716806272993913,0.5157534464268908,0.5491630995880123,0.21443433148172966,0.1796404057748813,0.0,0.034246240564378444,1,0,S9,9
9,0.5516102307419454,0.6486673128737421,0.39480345502920106,1.0958862679598198,0.515643373060359,0.5732338156277189,0.18907501338958585,0.2127504575101921,0.034246240564378444,0.0,1,0,S10,10
