,x_coord,y_coord,z_coord,repl,err,n_nms,Ridx
0,0.4389794703786708,0.1432156640273501,0.7242722681875109,0,0,H1,1
1,0.3276643579083858,0.21466242794101864,0.6437330824796078,0,0,H2,2
2,0.062433377294257686,0.3504464486843667,0.8450032392734301,0,0,H3,3
3,0.728088145028122,0.45425931418524945,0.14920971509698222,0,0,H4,4
4,0.7306025197343787,0.25233477437674945,0.24475334854017594,0,0,H5,5
5,0.18186133622048217,0.14160366156491566,0.8091228085230235,0,0,H6,6
6,0.8126036563991178,0.2071958268159022,0.9056943720227936,0,0,H7,7
7,0.4037237418218417,0.9233338353077172,0.8342121806392727,0,0,H8,8
8,0.5320413647442994,0.10635730540754917,0.3165742394817792,0,0,H9,9
9,0.7807701050761574,0.24223425962543865,0.6360940954518061,0,0,H10,10
10,0.6064086543981814,0.821508890530279,0.701694630181326,0,0,H11,11
11,0.879424421641076,0.003660012860783546,0.5172214439030745,0,0,H12,12
12,0.3571981466576223,0.7297894643685551,0.29133737151920935,0,0,H13,13
13,0.3005785955441338,0.7940809491197732,0.29273943969388383,0,0,H14,14
14,0.6880120802805001,0.4125194323239848,0.4255582392388102,0,0,H15,15
15,0.4012079046901903,0.5789139207751635,0.5956557591642755,0,0,H16,16
16,0.8879706728200624,0.334169631219177,0.2459447895699568,0,0,H17,17
17,0.23708763762376206,0.35435373949926974,0.20223166740827558,0,0,H18,18
18,0.25517223318612614,0.40736807801791763,0.0516480897310998,0,0,H19,19
19,0.6456052794797352,0.7050034511141412,0.10409243234769172,0,0,H20,20
20,0.824593170595249,0.08778882567543578,0.48212007503785026,0,0,H21,21
21,0.901186901873747,0.09810138398946822,0.07664427338505819,0,0,H22,22
22,0.588365781517141,0.09802246523387981,0.059224176454085176,0,0,H23,23
23,0.20416841241191308,0.45127722520201075,0.9782624262021129,0,0,H24,24
24,0.5847993909097345,0.876353699996178,0.45679254538087,0,0,H25,25
0,0.04618096649597769,0.6628961887712841,0.11741820535369885,1,0,H1,1
1,0.8225371414627943,0.651899095519985,0.9441104358925231,1,0,H2,2
2,0.6787207255903668,0.2029122207888827,0.15327500339529054,1,0,H3,3
3,0.23437740493933124,0.9598729092393746,0.40224939911321567,1,0,H4,4
4,0.35867461431717995,0.6689148182528849,0.8656592225481566,1,0,H5,5
5,0.3617069326339367,0.5600978956856585,0.5420014105028512,1,0,H6,6
6,0.6751987149145582,0.42164031327316276,0.009107073231921725,1,0,H7,7
7,0.20591059133021006,0.8898168771963018,0.4466443649497126,1,0,H8,8
8,0.9544411637412245,0.1658404284123991,0.8587644471490472,1,0,H9,9
9,0.7690677331796668,0.1910273446300681,0.22863090067997904,1,0,H10,10
10,0.8255399479313116,0.12377468190246399,0.8421784952803715,1,0,H11,11
11,0.29975610063231795,0.807609343782554,0.2702914081841996,1,0,H12,12
12,0.9052087156175161,0.06635264190093193,0.6309313954758249,1,0,H13,13
13,0.09756599571976698,0.2874599015456186,0.06574651788755848,1,0,H14,14
14,0.7578262475280058,0.6848315473748579,0.5508944155173768,1,0,H15,15
15,0.4533716239193294,0.0923865239609516,0.062357201187116074,1,0,H16,16
16,0.11220497673942642,0.6550545941699827,0.6182725575159407,1,0,H17,17
17,0.4334945920187576,0.2450051016157887,0.5895324427304586,1,0,H18,18
18,0.02759469488909716,0.2967262182418575,0.29332816164789954,1,0,H19,19
19,0.6453514387909215,0.8185215225496781,0.4953707477559407,1,0,H20,20
20,0.7554349070321896,0.2581138780118739,0.6110916405742365,1,0,H21,21
21,0.8380569473466446,0.6940243043713804,0.36820324239931945,1,0,H22,22
22,0.7165807252320227,0.18709572324750268,0.5382788259967929,1,0,H23,23
23,0.6524189036553946,0.26531506074991396,0.26275500971955834,1,0,H24,24
24,0.3003810020279788,0.7847158484680573,0.12142957836316459,1,0,H25,25
