"","R1","R2","R3","repl","err","n_nms","Ridx","d"
"2",0.198894658701935,0.089991475783451,0.0841778972069309,0,0,"H2",2,"HabSubsmpl_25"
"23",0.153037788977409,0.224612601715482,0.226002145050033,0,0,"H23",23,"HabSubsmpl_25"
"14",0.49566050415244,0.311777469055628,0.514040340423759,0,0,"H14",14,"HabSubsmpl_25"
"7",0.338910186673846,0.399338237302161,0.408026509269144,0,0,"H7",7,"HabSubsmpl_25"
"1",0.223374562803054,0.281840105209861,0.255087617557763,0,0,"H1",1,"HabSubsmpl_25"
"12",0.580852061818249,0.562340511228202,0.0857199584501724,0,0,"H12",12,"HabSubsmpl_25"
"19",0.235882135233641,0.159254135678182,0.0952322131380228,0,0,"H19",19,"HabSubsmpl_25"
"8",0.419860737526117,0.0766519578905126,0.302814247130329,0,0,"H8",8,"HabSubsmpl_25"
"22",0.484808080260659,0.230537975740449,0.312584858486543,0,0,"H22",22,"HabSubsmpl_25"
"9",0.381682837509376,0.308162026645991,0.188751720941406,0,0,"H9",9,"HabSubsmpl_25"
"17",0.417279630359391,0.347694661638852,0.369245946800238,0,0,"H17",17,"HabSubsmpl_25"
"13",0.160322512264396,0.0821172595422416,0.391157952819476,0,0,"H13",13,"HabSubsmpl_25"
"18",0.276838537807166,0.241040950655153,0.218293966733422,0,0,"H18",18,"HabSubsmpl_25"
"3",0.228084293443732,0.286738405590166,0.240971975698557,0,0,"H3",3,"HabSubsmpl_25"
"10",0.167442990164457,0.165293605609649,0.1746821350199,0,0,"H10",10,"HabSubsmpl_25"
"5",0.192284767645354,0.232971978131272,0.375465071050092,0,0,"H5",5,"HabSubsmpl_25"
"11",0.28895576080639,0.206960852171732,0.355286094952386,0,0,"H11",11,"HabSubsmpl_25"
"24",0.182389054303768,0.0247534632338602,0.295720910651929,0,0,"H24",24,"HabSubsmpl_25"
"15",0.346645823023421,0.465803223438278,0.19550709347707,0,0,"H15",15,"HabSubsmpl_25"
"6",0.318004515093705,0.163222130895414,0.271166858733301,0,0,"H6",6,"HabSubsmpl_25"
"25",0.332548251458192,0.346667148152271,0.290152328773905,0,0,"H25",25,"HabSubsmpl_25"
"16",0.250245180108119,0.259186885983359,0.175569154001562,0,0,"H16",16,"HabSubsmpl_25"
"20",0.138882948678543,0.30861279841176,0.347914185414287,0,0,"H20",20,"HabSubsmpl_25"
"4",0.31367610877841,0.409147361956504,0.20930491164981,0,0,"H4",4,"HabSubsmpl_25"
"21",0.291919884219962,0.226371788134332,0.240233805681585,0,0,"H21",21,"HabSubsmpl_25"
"32",0.246664567717776,0.242541303939742,0.310216310697146,1,0,"H7",7,"HabSubsmpl_25"
"29",0.178045048326523,0.291970842442257,0.294542625623897,1,0,"H4",4,"HabSubsmpl_25"
"36",0.228774082071499,0.165499221265646,0.332208376575238,1,0,"H11",11,"HabSubsmpl_25"
"48",0.12310043891547,0.389828465580953,0.231544128528308,1,0,"H23",23,"HabSubsmpl_25"
"47",0.383128778327978,0.292010217575983,0.312138706409006,1,0,"H22",22,"HabSubsmpl_25"
"42",0.283797155498884,0.376388889608884,0.2419315810701,1,0,"H17",17,"HabSubsmpl_25"
"50",0.301059644619559,0.390494936415832,0.165039653779196,1,0,"H25",25,"HabSubsmpl_25"
"40",0.197292923442512,0.11932901836344,0.251460495403857,1,0,"H15",15,"HabSubsmpl_25"
"38",0.273875937313763,0.0687349294662878,0.138653791692682,1,0,"H13",13,"HabSubsmpl_25"
"46",0.276264649513371,0.185570147932011,0.317333945511875,1,0,"H21",21,"HabSubsmpl_25"
"44",0.175393914730373,0.116998641423408,0.192959609852641,1,0,"H19",19,"HabSubsmpl_25"
"41",0.196562951657709,0.114817993630342,0.151934405546685,1,0,"H16",16,"HabSubsmpl_25"
"43",0.212810886325957,0.340420647509235,0.353026529692467,1,0,"H18",18,"HabSubsmpl_25"
"26",0.16019831695296,0.210753070302165,0.317374763081892,1,0,"H1",1,"HabSubsmpl_25"
"30",0.111125991291572,0.229705703348147,0.163834764252208,1,0,"H5",5,"HabSubsmpl_25"
"35",0.187010151694927,0.136596512537367,0.247650404001947,1,0,"H10",10,"HabSubsmpl_25"
"27",0.21632143893919,0.30091681228744,0.398699369060388,1,0,"H2",2,"HabSubsmpl_25"
"28",0.299763159295165,0.327396162354876,0.282109727450283,1,0,"H3",3,"HabSubsmpl_25"
"34",0.385748822034982,0.186641283298384,0.207996587490986,1,0,"H9",9,"HabSubsmpl_25"
"45",0.264313604971028,0.663702148415711,0.196402311915179,1,0,"H20",20,"HabSubsmpl_25"
"49",0.214487217728104,0.294928350126252,0.266118120009788,1,0,"H24",24,"HabSubsmpl_25"
"37",0.507751867422049,0.0870564103041577,0.0745206899122307,1,0,"H12",12,"HabSubsmpl_25"
"33",0.366126022158099,0.227277614363477,0.147667471672652,1,0,"H8",8,"HabSubsmpl_25"
"31",0.243368245168338,0.167064559544375,0.170063702198019,1,0,"H6",6,"HabSubsmpl_25"
"39",0.200090916748526,0.221977641488072,0.3758661678965,1,0,"H14",14,"HabSubsmpl_25"
