,R1,R2,R3,repl,err,rsc_nms,Ridx
0,0.009172747795764713,0.9421520148466409,0.048675237357594346,0,0,S1,1
1,0.6495117631640812,0.2735644682209152,0.07692376861500361,0,0,S2,2
2,0.03386533699453753,0.960557817617965,0.005576845387497431,0,0,S3,3
3,0.06776235300938763,0.6296825835343145,0.3025550634562979,0,0,S4,4
4,0.35466587241056036,0.18954931071928072,0.4557848168701589,0,0,S5,5
5,0.9125529949560482,0.07360705206662022,0.013839952977331598,0,0,S6,6
6,0.22999608722401543,0.6078231473436855,0.16218076543229903,0,0,S7,7
7,0.23265900134193462,0.5315462904481141,0.2357947082099513,0,0,S8,8
8,0.3112890775141648,0.4943513768588459,0.19435954562698932,0,0,S9,9
9,0.4349512362905049,0.17946987789746977,0.38557888581202526,0,0,S10,10
0,0.544639627556384,0.27376742395515397,0.18159294848846205,1,0,S1,1
1,0.037254765673974344,0.6105478182811914,0.3521974160448342,1,0,S2,2
2,0.09008427011686779,0.7127844007872829,0.1971313290958493,1,0,S3,3
3,0.1336570547953081,0.7589420165172931,0.10740092868739881,1,0,S4,4
4,0.4127522118840907,0.1529742257261355,0.43427356238977377,1,0,S5,5
5,0.804510923963464,0.14143981581627962,0.05404926022025637,1,0,S6,6
6,0.3274483357517043,0.18697287189557998,0.4855787923527157,1,0,S7,7
7,0.14304996970499537,0.024484505170889292,0.8324655251241153,1,0,S8,8
8,0.06300697471990035,0.6001300830030967,0.336862942277003,1,0,S9,9
9,0.16744010809098148,0.07696698391530721,0.7555929079937114,1,0,S10,10
