,x_coord,y_coord,z_coord,repl,err,n_nms,Ridx
0,0.30829697699159475,0.08242441002828726,0.22959381167250825,0,0,H1,1
1,0.9029002416812021,0.047624808859163204,0.8500420794331268,0,0,H2,2
2,0.1650962732261707,0.009186353269271197,0.8734713297602812,0,0,H3,3
3,0.2744744072432772,0.5749194357243421,0.678538693059768,0,0,H4,4
4,0.6967521808999848,0.5076607486857686,0.744191320479352,0,0,H5,5
5,0.4689798757440865,0.8365969896092682,0.27793136962891773,0,0,H6,6
6,0.9570139866465711,0.11985640420952892,0.14308325473870542,0,0,H7,7
7,0.46648002166616176,0.01909995174109147,0.29957173085422806,0,0,H8,8
8,0.6772848212382142,0.5941908173400617,0.6258633098537464,0,0,H9,9
9,0.357000942770757,0.4277250073038156,0.18717255600876237,0,0,H10,10
10,0.16420783680172668,0.40308471669905344,0.32073052013889214,0,0,H11,11
11,0.8080010930165681,0.5122501659068966,0.7871354507661449,0,0,H12,12
12,0.1749875563413772,0.26128112937129877,0.13673704500689232,0,0,H13,13
13,0.28590111765010606,0.37142253170281436,0.7281050963110375,0,0,H14,14
14,0.9976609357453095,0.07748761556195716,0.3752177399262876,0,0,H15,15
15,0.8645133125567779,0.05152301601619835,0.6965744093214814,0,0,H16,16
16,0.09144231028210281,0.6795380673523133,0.23107867408870875,0,0,H17,17
17,0.0597438348208752,0.13642340108628437,0.8463531592063808,0,0,H18,18
18,0.3849808191124878,0.15362851817640788,0.06850762226559892,0,0,H19,19
19,0.6049086059264842,0.9306818594694873,0.3365174070138226,0,0,H20,20
20,0.043571394595391166,0.1186472456134291,0.46756281549087164,0,0,H21,21
21,0.4337581019922574,0.6379448174609369,0.5684117865599503,0,0,H22,22
22,0.1522836642200458,0.4352751598046414,0.9841400788304182,0,0,H23,23
23,0.8546831374131639,0.8618720351590918,0.6337368820902379,0,0,H24,24
24,0.029763479056758135,0.5293575979342926,0.8902558961852064,0,0,H25,25
0,0.6816123743127502,0.3734889138305312,0.22532856054884542,1,0,H1,1
1,0.7755464592692671,0.2882263269212705,0.7719951002474512,1,0,H2,2
2,0.6955635916068966,0.07186035903304167,0.23489256792275381,1,0,H3,3
3,0.39578841634241446,0.3347430363426732,0.6889757905986509,1,0,H4,4
4,0.10401234366173773,0.4199993072631203,0.11585055447919257,1,0,H5,5
5,0.1727213942825072,0.2635936343442582,0.019002174297503283,1,0,H6,6
6,0.8630526714378642,0.105630761513133,0.8852136790840378,1,0,H7,7
7,0.5846978085738691,0.35201262844906045,0.4903600949091168,1,0,H8,8
8,0.3941916270445295,0.6123330411379185,0.08364115331072064,1,0,H9,9
9,0.9748151333731736,0.14605725029495686,0.015446567559234348,1,0,H10,10
10,0.6241050128739947,0.5688145786969293,0.6601928738018408,1,0,H11,11
11,0.9084707044821168,0.16552065698242757,0.8869649981137555,1,0,H12,12
12,0.1087191042583856,0.5865339877251279,0.5741780997790997,1,0,H13,13
13,0.13978281557188477,0.3338668786272997,0.22285002903956808,1,0,H14,14
14,0.6498865784148429,0.35169375106889833,0.8739777533046041,1,0,H15,15
15,0.7701021753171499,0.978684647066999,0.8296527472688466,1,0,H16,16
16,0.37616170489923373,0.6697649356458673,0.8290012527908045,1,0,H17,17
17,0.745653140559696,0.5594041131102151,0.07622102632872407,1,0,H18,18
18,0.9614600223326927,0.8418168386454369,0.061185859487200345,1,0,H19,19
19,0.13876867987197317,0.30993885471518023,0.7936403729773116,1,0,H20,20
20,0.5876767659463502,0.6944637482615916,0.364916438157045,1,0,H21,21
21,0.11894240984394688,0.2691861748812515,0.5792910560559802,1,0,H22,22
22,0.6754395520053581,0.19810209049605054,0.9044976350486802,1,0,H23,23
23,0.18391276883923358,0.6869552157524377,0.6165836516655347,1,0,H24,24
24,0.2680990282982234,0.06469127115752848,0.9657156875505459,1,0,H25,25
