"","R1","R2","R3","repl","err","n_nms","Ridx","d"
"22",0.285427141414909,0.297155067473922,0.206417084447042,0,0,"H22",22,"HabSubsmpl_25"
"25",0.202021394726808,0.273534283875436,0.204981609330267,0,0,"H25",25,"HabSubsmpl_25"
"21",0.499431639510152,0.338854189451986,0.187002660680085,0,0,"H21",21,"HabSubsmpl_25"
"4",0.370877245502721,0.191929038507723,0.374932112120271,0,0,"H4",4,"HabSubsmpl_25"
"7",0.0829286887657166,0.125774479107503,0.178829870066657,0,0,"H7",7,"HabSubsmpl_25"
"20",0.320057833046639,0.162128622769186,0.208990046091062,0,0,"H20",20,"HabSubsmpl_25"
"6",0.266289563315971,0.220836820882226,0.484192173569362,0,0,"H6",6,"HabSubsmpl_25"
"12",0.201224149750778,0.294160058970468,0.321352224578105,0,0,"H12",12,"HabSubsmpl_25"
"8",0.235627826769178,0.261463470234733,0.216229650775358,0,0,"H8",8,"HabSubsmpl_25"
"19",0.231261898656379,0.320228568634417,0.641774846191719,0,0,"H19",19,"HabSubsmpl_25"
"24",0.383169737917026,0.260969045220658,0.308464502229251,0,0,"H24",24,"HabSubsmpl_25"
"13",0.116372350878222,0.214541532885824,0.0834256812346586,0,0,"H13",13,"HabSubsmpl_25"
"10",0.228101612385266,0.308326388227981,0.203653558832913,0,0,"H10",10,"HabSubsmpl_25"
"9",0.201558515528467,0.219217729278457,0.254294004628463,0,0,"H9",9,"HabSubsmpl_25"
"14",0.36872276262613,0.434397516937801,0.213029809127181,0,0,"H14",14,"HabSubsmpl_25"
"5",0.174376143977787,0.249944182656721,0.239424681388249,0,0,"H5",5,"HabSubsmpl_25"
"16",0.168381943770877,0.124124900958612,0.203729616350558,0,0,"H16",16,"HabSubsmpl_25"
"11",0.254074111528361,0.336882238287235,0.218747953706825,0,0,"H11",11,"HabSubsmpl_25"
"2",0.33587825851013,0.241212698467754,0.47212350353937,0,0,"H2",2,"HabSubsmpl_25"
"1",0.34154477088025,0.3426947852118,0.270823599583169,0,0,"H1",1,"HabSubsmpl_25"
"17",0.361761946731494,0.17169968722588,0.33187353810558,0,0,"H17",17,"HabSubsmpl_25"
"15",0.679183539040179,0.241230721370867,0.373900489354896,0,0,"H15",15,"HabSubsmpl_25"
"23",0.346452012616271,0.207948810212481,0.165941871739923,0,0,"H23",23,"HabSubsmpl_25"
"3",0.419643598608236,0.0486028958012937,0.383801765021874,0,0,"H3",3,"HabSubsmpl_25"
"18",0.170883622335033,0.227825889218623,0.0912855057837609,0,0,"H18",18,"HabSubsmpl_25"
"44",0.190881206288836,0.264273575371929,0.371445289994733,1,0,"H19",19,"HabSubsmpl_25"
"50",0.245040430299579,0.287891739450208,0.165966023823575,1,0,"H25",25,"HabSubsmpl_25"
"47",0.103890510995373,0.404404675032707,0.183648534199837,1,0,"H22",22,"HabSubsmpl_25"
"34",0.112613628845645,0.358029046955329,0.291711746860247,1,0,"H9",9,"HabSubsmpl_25"
"30",0.224323118311084,0.244707030726292,0.265219588322119,1,0,"H5",5,"HabSubsmpl_25"
"33",0.18197374891089,0.229257554944204,0.145139727074639,1,0,"H8",8,"HabSubsmpl_25"
"37",0.362716386803175,0.289390686656853,0.294657506166575,1,0,"H12",12,"HabSubsmpl_25"
"49",0.0890981854221859,0.0469314338445147,0.295532970290489,1,0,"H24",24,"HabSubsmpl_25"
"39",0.283673270455999,0.271947754435403,0.405093857417093,1,0,"H14",14,"HabSubsmpl_25"
"38",0.256809453790349,0.312605819016866,0.127451593133078,1,0,"H13",13,"HabSubsmpl_25"
"36",0.322692674721742,0.318753455694993,0.366520137776814,1,0,"H11",11,"HabSubsmpl_25"
"32",0.262006448247726,0.209820818619651,0.17810382219938,1,0,"H7",7,"HabSubsmpl_25"
"48",0.222403397941553,0.480265459345708,0.21051822321304,1,0,"H23",23,"HabSubsmpl_25"
"42",0.252211870066246,0.185444897657979,0.307867517694851,1,0,"H17",17,"HabSubsmpl_25"
"45",0.246672448496768,0.363676605714243,0.290999915857934,1,0,"H20",20,"HabSubsmpl_25"
"29",0.28922263755294,0.279881860250462,0.269570330726855,1,0,"H4",4,"HabSubsmpl_25"
"46",0.0988803396913431,0.319202967233175,0.333256169005042,1,0,"H21",21,"HabSubsmpl_25"
"40",0.231273991613921,0.218412852997483,0.160536971133758,1,0,"H15",15,"HabSubsmpl_25"
"26",0.361495864586299,0.473313738827198,0.258482007458144,1,0,"H1",1,"HabSubsmpl_25"
"43",0.161630811867351,0.399241591649562,0.275527511238462,1,0,"H18",18,"HabSubsmpl_25"
"31",0.296598857976687,0.233427175523433,0.101413623168099,1,0,"H6",6,"HabSubsmpl_25"
"41",0.293978800802627,0.171751098091978,0.229106032981572,1,0,"H16",16,"HabSubsmpl_25"
"28",0.181015867412305,0.169818470711565,0.143870624485405,1,0,"H3",3,"HabSubsmpl_25"
"27",0.118712035311235,0.349667240327049,0.327162691549148,1,0,"H2",2,"HabSubsmpl_25"
"35",0.428454191111306,0.308579281606687,0.067262437905815,1,0,"H10",10,"HabSubsmpl_25"
