,R1,R2,R3,repl,err,rsc_nms,Ridx
0,0.3181323976607787,0.18855785509192102,0.49330974724730026,0,0,S1,1
1,0.41973571408737365,0.1853047272204823,0.39495955869214405,0,0,S2,2
2,0.7012172929936774,0.2897091182012479,0.009073588805074733,0,0,S3,3
3,0.10755706219982686,0.664907915921896,0.22753502187827715,0,0,S4,4
4,0.2497710344167351,0.08403682113952307,0.6661921444437419,0,0,S5,5
5,0.034701261306217736,0.7129311730190718,0.2523675656747104,0,0,S6,6
6,0.29269584905963686,0.6151933022656518,0.09211084867471131,0,0,S7,7
7,0.7044748730444956,0.2778568057964457,0.017668321159058697,0,0,S8,8
8,0.4567705790717479,0.32087450425579955,0.22235491667245252,0,0,S9,9
9,0.6487814014846693,0.20325270091933856,0.14796589759599213,0,0,S10,10
0,0.4033311044153078,0.061006355335690765,0.5356625402490014,1,0,S1,1
1,0.4376956404132488,0.20522140194979677,0.35708295763695447,1,0,S2,2
2,0.32379497938355195,0.3747489100414001,0.30145611057504795,1,0,S3,3
3,0.7754588728690924,0.14822689176372006,0.07631423536718752,1,0,S4,4
4,0.17449616117836939,0.32598516196251215,0.49951867685911844,1,0,S5,5
5,0.1351857494930376,0.32203661682849805,0.5427776336784643,1,0,S6,6
6,0.011309470233529573,0.0345758135381077,0.9541147162283627,1,0,S7,7
7,0.5727295465747071,0.03205015608458428,0.3952202973407086,1,0,S8,8
8,0.09492500974021045,0.659206574625129,0.24586841563466055,1,0,S9,9
9,0.15815279289058884,0.37416700791249846,0.4676801991969127,1,0,S10,10
