,x_coord,y_coord,z_coord,repl,err,n_nms,Ridx
0,0.2007257269218652,0.7728495508467077,0.7841220634518558,0,0,H1,1
1,0.7436878417869265,0.3470367201177067,0.259117759597699,0,0,H2,2
2,0.4446685996758689,0.3641885303311949,0.8654007248217385,0,0,H3,3
3,0.811544889383332,0.22662206978691257,0.7424966880712288,0,0,H4,4
4,0.8446675295422016,0.39657496170222784,0.3643247752681448,0,0,H5,5
5,0.680101399105328,0.6122203903036084,0.9824510413518207,0,0,H6,6
6,0.9368075427021276,0.5162034316168297,0.447562516571845,0,0,H7,7
7,0.6487075030574269,0.4971087062854276,0.33668967637257685,0,0,H8,8
8,0.7977838586024016,0.7205342836193752,0.04885924122695029,0,0,H9,9
9,0.21617134832749563,0.5814269724876197,0.08170697902071411,0,0,H10,10
10,0.5157384347231528,0.6615243821120801,0.6931256411378549,0,0,H11,11
11,0.5727916722308286,0.6386397474706152,0.9030282414572663,0,0,H12,12
12,0.7513870477916863,0.2856158082017074,0.4726539404512373,0,0,H13,13
13,0.07500457080644685,0.8142619993714842,0.2798452816392727,0,0,H14,14
14,0.7170767740064526,0.5664195221886396,0.5628051556072995,0,0,H15,15
15,0.6380583396501853,0.6445823251714144,0.9056141776405973,0,0,H16,16
16,0.3321344445232114,0.6240060009117069,0.1372988989919982,0,0,H17,17
17,0.4033284479690865,0.8867961045312777,0.13340475969907328,0,0,H18,18
18,0.11772769076478229,0.9606779406353084,0.17727773167358218,0,0,H19,19
19,0.3522886822134148,0.9211300564561646,0.469361269329416,0,0,H20,20
20,0.49261156547040785,0.5860164042712006,0.5302990939261598,0,0,H21,21
21,0.4619968026964928,0.31166094888659723,0.31402998146350947,0,0,H22,22
22,0.12225010110543866,0.11560820923799853,0.5109997110453504,0,0,H23,23
23,0.2789849269806488,0.6282601064901949,0.9761769713443498,0,0,H24,24
24,0.9602701881968939,0.6205678318554535,0.06715227372638877,0,0,H25,25
0,0.7605450110906027,0.7830595822287731,0.13393208766483544,1,0,H1,1
1,0.9055019521307788,0.9242469721209668,0.342344574794081,1,0,H2,2
2,0.08883690716394521,0.3246064567219997,0.8960472335179929,1,0,H3,3
3,0.4142532023629939,0.4233118612457547,0.3434521708216931,1,0,H4,4
4,0.4789674710168216,0.10574791256166549,0.20359639357984838,1,0,H5,5
5,0.9773257226287176,0.6960868927641929,0.8313655478785127,1,0,H6,6
6,0.39658935467912126,0.5363302246300583,0.3161431684027366,1,0,H7,7
7,0.9553381409313931,0.7327822885901598,0.2815091511836266,1,0,H8,8
8,0.029528235809739733,0.5382189431759691,0.02045683423711886,1,0,H9,9
9,0.8457386535411463,0.7286069895173164,0.9541686211679361,1,0,H10,10
10,0.7490276571563763,0.3895147579061973,0.5870198767287775,1,0,H11,11
11,0.5873296995295738,0.6423001583041776,0.05224079339080989,1,0,H12,12
12,0.26457606364305775,0.37989583885559663,0.6808151676190032,1,0,H13,13
13,0.7056614728339605,0.5673828434812529,0.18433764904039351,1,0,H14,14
14,0.5975799017531273,0.2750489063917442,0.36164720031677056,1,0,H15,15
15,0.8645400583351867,0.48976215221745123,0.0879786762581406,1,0,H16,16
16,0.5637076305117416,0.6164860685669192,0.47901952163323647,1,0,H17,17
17,0.8741203482030783,0.3654162822558189,0.9660780182564216,1,0,H18,18
18,0.9725534803860052,0.31242950258685365,0.41155101944734396,1,0,H19,19
19,0.8593913398095443,0.4798580551664079,0.8056606953322847,1,0,H20,20
20,0.29080954393724967,0.8484021689025425,0.5298930077789644,1,0,H21,21
21,0.8690065964090826,0.05049088038901606,0.7237481856312463,1,0,H22,22
22,0.9063618909683085,0.27940939150520794,0.8385765106912272,1,0,H23,23
23,0.14000104747957787,0.9741685546696182,0.11354821023725814,1,0,H24,24
24,0.7691797164991259,0.7507856046497067,0.8150697457210585,1,0,H25,25
