,R1,R2,R3,repl,err,rsc_nms,Ridx
0,0.43835106522820544,0.49519263623487864,0.06645629853691597,0,0,S1,1
1,0.268616685412729,0.07854214847844315,0.6528411661088279,0,0,S2,2
2,0.592241991246402,0.2944881289669209,0.11326987978667713,0,0,S3,3
3,0.1507743739603674,0.033326787424463815,0.8158988386151688,0,0,S4,4
4,0.028291683531251444,0.5735532271160317,0.3981550893527168,0,0,S5,5
5,0.4970879332580716,0.18278752613447224,0.3201245406074561,0,0,S6,6
6,0.8859023451297283,0.012161409173011476,0.10193624569726023,0,0,S7,7
7,0.3481518859846672,0.48582208340264305,0.16602603061268972,0,0,S8,8
8,0.4560458622641954,0.4164020276413114,0.1275521100944932,0,0,S9,9
9,0.04493586796228116,0.05865953757782205,0.8964045944598967,0,0,S10,10
0,0.5328655941457314,0.1336065931068142,0.33352781274745436,1,0,S1,1
1,0.5597145346119525,0.37015290450519556,0.07013256088285191,1,0,S2,2
2,0.8312160989129993,0.09525402435122943,0.07352987673577127,1,0,S3,3
3,0.2420427875064457,0.6744198174919321,0.08353739500162215,1,0,S4,4
4,0.2972367710556414,0.02548807635737646,0.6772751525869821,1,0,S5,5
5,0.6804367557453319,0.08339454633576326,0.23616869791890482,1,0,S6,6
6,0.49177788834971703,0.23021505879128465,0.2780070528589983,1,0,S7,7
7,0.5393276971115493,0.1834579225036076,0.2772143803848432,1,0,S8,8
8,0.40182790271341473,0.40405723736244326,0.194114859924142,1,0,S9,9
9,0.6629297666330753,0.24621009358797374,0.09086013977895091,1,0,S10,10
